"item_id"	"manufacturer_item_id"	"upc_or_ean_id"	"manufacturer"	"product_name"	"short_description"	"extended_description"	images	weight	length	width	height	categories	"retail_map"	"msrp"	"stock_status"
"BLK44H001BK"	"44H001BK"	"648018139482"	"Blackhawk!"	"13948 - ERGO DUTY BELT HRNS S/M BLK"	"13948 - ERGO DUTY BELT HRNS S/M BLK"	"Ergonomic Duty Belt Harness: Black - Small/Medium - Harness used to alleviate discomfort caused by the heavy weight of an equipment-laden duty belt - Broad range fit for any type of body armor or body type - No moving parts to fail"	BLK44H001BK.jpg	.6700	10.0000	7.0000	3.0000	TAC GEAR	"63.99"	"79.99"	"N"
"BLK44H002BK"	"44H002BK"	"648018139499"	"Blackhawk!"	"13949 - ERGO DUTY BELT HRNS LG-XXL BLK"	"13949 - ERGO DUTY BELT HRNS LG-XXL BLK"	"Ergonomic Duty Belt Harness: Black - Large/X-Large - Harness used to alleviate discomfort caused by the heavy weight of an equipment-laden duty belt - Broad range fit for any type of body armor or body type - No moving parts to fail"	BLK44H002BK.jpg	.6700	10.0000	7.0000	3.0000	TAC GEAR	"63.99"	"79.99"	"N"
"BLK44H003BKL"	"44H003BKL"	"648018032509"	"Blackhawk!"	"03250 - SERPA L2 DUTY HLSTR LH SZ 3 BLK"	"03250 - SERPA L2 DUTY HLSTR LH SZ 3 BLK"	"SERPA Level 2 Duty Holsters: Left Handed - Black - Size:03 - 1911 Gov't and Clones with or without Picatinny Rails - Full length holster body protects rear sights - Serpa active retention system - Passive retention adjustment screw"	BLK44H003BKL.jpg	.7300	5.5000	4.0000	12.0000	HOLSTERS	"n/a"	"87.99"	"N"
"BLK44H003BKR"	"44H003BKR"	"648018032516"	"Blackhawk!"	"03251 - SERPA L2 DUTY HLSTR RH SZ 3 BLK"	"03251 - SERPA L2 DUTY HLSTR RH SZ 3 BLK"	"SERPA Level 2 Duty Holsters: Right Handed - Black - Size:03 - 1911 Gov't and Clones with or without Picatinny Rails - Full length holster body protects rear sights - Serpa active retention system - Passive retention adjustment screw"	BLK44H003BKR.jpg	.8000	5.5000	4.0000	12.0000	HOLSTERS	"n/a"	"87.99"	"N"
"BLK44H004BKL"	"44H004BKL"	"648018032554"	"Blackhawk!"	"03255 - SERPA L2 DUTY HLSTR LH SZ 4 BLK"	"03255 - SERPA L2 DUTY HLSTR LH SZ 4 BLK"	"SERPA Level 2 Duty Holsters: Left Handed - Black - Size:04 - Beretta 92/96 - Not for Brigadier/Elite or M9A1 - Full length holster body protects rear sights - Serpa active retention system - Passive retention adjustment screw"	BLK44H004BKL.jpg	.7500	12.0000	5.2500	3.5000	HOLSTERS	"n/a"	"87.99"	"N"
"BLK44H004BKR"	"44H004BKR"	"648018032561"	"Blackhawk!"	"03256 - SERPA L2 DUTY HLSTR RH SZ 4 BLK"	"03256 - SERPA L2 DUTY HLSTR RH SZ 4 BLK"	"SERPA Level 2 Duty Holsters: Right Handed - Black - Size:04 - Beretta 92/96 - Not for Brigadier/Elite or M9A1 - Full length holster body protects rear sights - Serpa active retention system - Passive retention adjustment screw"	BLK44H004BKR.jpg	.7500	12.0000	5.2500	3.5000	HOLSTERS	"n/a"	"87.99"	"N"
"BLK44H006BKL"	"44H006BKL"	"648018032578"	"Blackhawk!"	"03257 - SERPA L2 DUTY HLSTR LH SZ 6 BLK"	"03257 - SERPA L2 DUTY HLSTR LH SZ 6 BLK"	"SERPA Level 2 Duty Holsters: Left Handed - Black - Size:06 - Sig 220/225/226/228/229 with or without Picatinny Rail - Full length holster body protects rear sights - Serpa active retention system - Passive retention adjustment screw"	BLK44H006BKL.jpg	.7500	12.0000	5.2500	3.5000	HOLSTERS	"n/a"	"87.99"	"N"
"BLK44H006BKR"	"44H006BKR"	"648018032585"	"Blackhawk!"	"03258 - SERPA L2 DUTY HLSTR RH SZ 6 BLK"	"03258 - SERPA L2 DUTY HLSTR RH SZ 6 BLK"	"SERPA Level 2 Duty Holsters: Right Handed - Black - Size:06 - Sig 220/225/226/228/229 with or without Picatinny Rail - Full length holster body protects rear sights - Serpa active retention system - Passive retention adjustment screw"	BLK44H006BKR.jpg	.7500	12.0000	5.5500	3.5000	HOLSTERS	"n/a"	"87.99"	"N"
"BLK44H008BKL"	"44H008BKL"	"648018127465"	"Blackhawk!"	"12746 - SERPA L2 DUTY HLSTR LH SZ 8 BLK"	"12746 - SERPA L2 DUTY HLSTR LH SZ 8 BLK"	"SERPA Level 2 Duty Holsters: Left Handed - Black - Size:08 - SigPro 2022 - Full length holster body protects rear sights - Serpa active retention system - Passive retention adjustment screw"	BLK44H008BKL.jpg	.7500	12.0000	5.2500	3.5000	HOLSTERS	"n/a"	"87.99"	"N"
"BLK44H008BKR"	"44H008BKR"	"648018127472"	"Blackhawk!"	"12747 - SERPA L2 DUTY HLSTR RH SZ 8 BLK"	"12747 - SERPA L2 DUTY HLSTR RH SZ 8 BLK"	"SERPA Level 2 Duty Holsters: Right Handed - Black - Size:08 - SigPro 2022 - Full length holster body protects rear sights - Serpa active retention system - Passive retention adjustment screw"	BLK44H008BKR.jpg	.7500	12.0000	5.2500	3.5000	HOLSTERS	"n/a"	"87.99"	"N"
