"item_id",qty_available,"stock_status","active_status"
"CZM13004",0,"N","Y"
"CZM13006",0,"N","Y"
"CZM14001",0,"N","Y"
"CZM19003",0,"N","Y"
"CZM19006",0,"N","Y"
"CZM19105",0,"N","Y"
"DOS1010089",2,"S","Y"
"DOS1010303",2,"S","Y"
"BRN112026011",2,"S","Y"
"BRN112026016",0,"N","Y"
"BRN12850",0,"N","Y"
"BSQ14506",9,"S","Y"
"BSQ14507",1,"S","Y"
"BSQ14508",5,"S","Y"
"BSQ16212",0,"N","Y"
"BSQ16500",0,"S","Y"
"BSQ16812",0,"S","Y"
"BSQ16820",0,"N","Y"
"BSQ16825",0,"N","Y"
"BSQ18514",3,"S","Y"
"BSQ18526",15,"S","Y"
"BSQ20055",0,"N","Y"
"BSQ20056",0,"N","Y"
"BSQ20057",0,"N","Y"
"BSQ20062",0,"N","Y"
"BSQ27054",0,"N","Y"
"BSQ27055",0,"N","Y"
"BSQ27056",0,"N","Y"
"BSQ42306",0,"N","Y"
"BSQT0114",0,"N","Y"
"BSQT1100",0,"N","Y"
"BTY8COVR",0,"C","N"
"BUR200279",0,"N","Y"
"BUR200291",1,"S","Y"
"BUR410245",0,"N","Y"
"BUR410246",1,"N","Y"
"BUR410247",1,"S","Y"
"BUR410290",0,"N","Y"
"BUR410291",0,"N","Y"
"BUR410293",0,"N","Y"
"BUR410990",0,"N","Y"
"BUR420031",0,"N","Y"
"BUR420034",0,"N","Y"
"BUR420037",0,"N","Y"
"BUR420069",9,"S","Y"
"BUR420071",4,"S","Y"
"BUR420085",0,"N","Y"
"BUR420086",0,"N","Y"
"BUR420087",40,"S","Y"
"BUR420130",0,"N","Y"
"BUR420140",0,"N","Y"
"BUR420160",50,"S","Y"
"BUR420161",77,"S","Y"
"BUR420521",44,"S","Y"
"BUR420522",0,"N","Y"
"BUR420530",0,"N","Y"
"BUR420531",12,"S","Y"
"BUR420585",0,"N","Y"
"BUR420586",0,"N","Y"
"BUR625002",0,"N","Y"
"BUR626032",8,"S","Y"
"BUR626033",0,"N","Y"
"BUR626034",0,"N","Y"
"BUR626050",0,"N","Y"
"BUR626061",4,"S","Y"
"BUS131056",18,"S","Y"
"BUS131056C",0,"N","Y"
"BUS131225",10,"S","Y"
"BUS131650C",0,"N","Y"
"BUS132514",26,"S","Y"
"BUS132514C",0,"N","Y"
"BUS139825",1,"S","Y"
"BUS173507",4,"S","Y"
"BUS175007",0,"N","Y"
"BUS713946",4,"S","Y"
"BUS713947",1,"S","Y"
"BUS713948",29,"S","Y"
"BUS713950",0,"N","Y"
"BUS781645",0,"N","Y"
"BUS788831",0,"N","Y"
