"item_id",cost,"retail_map","msrp"
"BERTS1872380560XXL",17.5532,"n/a","33.00"
"BERTS1872380560XXXL",17.5532,"n/a","33.00"
"BERTS66729401L",15.4255,"n/a","29.00"
"BERTS66729401M",15.4255,"n/a","29.00"
"BERTS66729401S",15.4255,"n/a","29.00"
"BERTS66729401XL",15.4255,"n/a","29.00"
"BERTS66729401XXL",18.0851,"n/a","34.00"
"BERTS66729401XXXL",18.0851,"n/a","34.00"
"BERTS6672940999L",15.4255,"n/a","29.00"
"BERTS6672940999M",15.4255,"n/a","29.00"
"BERTS6672940999S",15.4255,"n/a","29.00"
"BERTS6672940999XL",15.4255,"n/a","29.00"
"BERTS6672940999XXL",18.0851,"n/a","34.00"
"BERTS6672940999XXXL",18.0851,"n/a","34.00"
"BERTS66729434L",15.4255,"n/a","29.00"
"BERTS66729434M",15.4255,"n/a","29.00"
"BERTS66729434S",15.4255,"n/a","29.00"
"BERTS66729434XL",15.4255,"n/a","29.00"
"BERTS66729434XS",15.4255,"n/a","29.00"
"BERTS66729434XXL",18.0851,"n/a","34.00"
"BERTS66729434XXXL",18.0851,"n/a","34.00"
"BERTS66729438L",15.4255,"n/a","29.00"
"BERTS66729438M",15.4255,"n/a","29.00"
"BERTS66729438S",15.4255,"n/a","29.00"
"BERTS66729438XL",15.4255,"n/a","29.00"
"BERTS66729438XXL",18.0851,"n/a","34.00"
"BERTS66729438XXXL",18.0851,"n/a","34.00"
"BERTS66729458L",15.4255,"n/a","29.00"
"BERTS66729458M",15.4255,"n/a","29.00"
"BERTS66729458S",15.4255,"n/a","29.00"
"BERTS66729458XL",15.4255,"n/a","29.00"
"BERTS66729458XXL",18.0851,"n/a","34.00"
"BERTS66729458XXXL",18.0851,"n/a","34.00"
"BERTS71729401L",18.6170,"n/a","35.00"
"BERTS71729401M",18.6170,"n/a","35.00"
"BERTS71729401S",18.6170,"n/a","35.00"
"BERTS71729401XL",18.6170,"n/a","35.00"
"BERTS71729401XXL",21.2766,"n/a","40.00"
"BERTS71729401XXXL",21.2766,"n/a","40.00"
"BERTS71729434L",18.6170,"n/a","35.00"
"BERTS71729434M",18.6170,"n/a","35.00"
"BERTS71729434S",18.6170,"n/a","35.00"
"BERTS71729434XL",18.6170,"n/a","35.00"
"BERTS71729434XS",18.6170,"n/a","35.00"
"BERTS5370850848XXXL",12.2340,"n/a","n/a"
"BERTS4772380999XXXL",17.5532,"n/a","n/a"
"BERTS6570850504L",10.6383,"n/a","20.00"
"BERTS6570850340S",10.6383,"n/a","20.00"
"BERTS6570850340M",10.6383,"n/a","20.00"
"BERTS6570850340L",10.6383,"n/a","20.00"
"BERTS6570850340XL",10.6383,"n/a","20.00"
"BERTS65708503402XL",12.2340,"n/a","23.00"
"BERTS65708503403XL",12.2340,"n/a","23.00"
"BERTS6570850504S",10.6383,"n/a","20.00"
"BERTS6570850504M",10.6383,"n/a","20.00"
"BERTS6570850504XL",10.6383,"n/a","20.00"
"BERTS65708505042XL",12.2340,"n/a","23.00"
"BERTS65708505043XL",12.2340,"n/a","23.00"
"BFEBCF3",7.8666,"n/a","12.30"
"BFECAC4",5.9479,"n/a","9.30"
"BFECLP12",8.2503,"n/a","12.90"
"BFECLP16",2.6222,"n/a","4.10"
"BFECLP2",4.9246,"n/a","7.70"
"BFECLP4",4.9246,"n/a","7.70"
"BFECLP5",14.4541,"n/a","22.60"
"BFECO4",4.2900,"n/a","7.20"
"BFEGC16",6.9500,"n/a","11.80"
"BFELP4",4.4900,"n/a","8.20"
"BLA21",2.0488,"n/a","2.95"
"BLA3460",18.3780,"n/a","23.95"
"BLA3462",22.2805,"n/a","28.95"
"BLA3475",24.1341,"n/a","31.95"
"BLA3477",24.1463,"n/a","31.95"
"BLA3480",29.6098,"n/a","38.95"
"BLA3501",16.8941,"n/a","28.95"
"BLA3503",18.8000,"n/a","34.95"
"BLA3505",17.0610,"n/a","27.95"
"BLA3506",23.9024,"n/a","31.95"
"BLA3509",11.4146,"n/a","20.95"
"BLA3514",21.3659,"n/a","27.95"
"BLA3519",21.3659,"n/a","27.95"
"BLA3522",18.2073,"n/a","26.95"
"BLA3542",20.0235,"n/a","33.95"
"BLA3556",38.5732,"n/a","50.95"
"BLA3564",32.4588,"n/a","48.95"
"BLA3570",19.4878,"n/a","37.95"
"BLA3578",11.4146,"n/a","20.95"
"BLA3582",15.7927,"n/a","20.95"
"BLA3584",42.4235,"n/a","57.95"
"BLA3587",23.2927,"n/a","30.95"
"BLA3589",15.5366,"n/a","30.95"
"BLA3591",15.5366,"n/a","30.95"
"BLA3597",28.5610,"n/a","37.95"
"BLA5200",12.1220,"n/a","21.95"
"BLA5201",12.1220,"n/a","21.95"
"BLA5202",18.0610,"n/a","29.95"
"BLA5204",19.2439,"n/a","30.95"
"BLA5207",22.0122,"n/a","34.95"
"BLA5210",16.4634,"n/a","31.95"
"BLA5220",16.4634,"n/a","31.95"
"BLA5230",20.6951,"n/a","39.95"
"BFECLP11",4.9246,"n/a","7.70"
"BFECLP20",3.2618,"n/a","5.10"
"BFECLP8",39.5249,"n/a","61.80"
"BFECLPPS",3.9653,"n/a","6.20"
"BLK153001SL",84.9195,"111.99","139.99"
"BLK15BW01SL",60.6568,"79.99","99.99"
"BLK15C200BK",78.8538,"n/a","129.99"
"BLK15C201BK",54.5911,"71.99","89.99"
"BLK15C210BK",78.8538,"n/a","129.99"
"BLK15C211BK",54.5911,"71.99","89.99"
"BLK15DE00BKPACK",145.5642,"159.99","199.99"
"BLK15DE00BKSTRIKE",145.5642,"159.99","199.99"
"BLK15G201BK",60.6568,"79.99","99.99"
"BLK15G211BK",60.6568,"79.99","99.99"
"BLK15H201BK",60.6568,"79.99","99.99"
"BLK15H211BK",60.6568,"79.99","99.99"
"BLK15HH11SL",24.2627,"31.99","39.99"
"BLK15K200BK",60.6568,"n/a","99.99"
"BLK15K210BK",60.6568,"n/a","99.99"
"BLK15M101BK",60.6568,"79.99","99.99"
"BLK15M111BK",60.6568,"79.99","99.99"
"BLK15M201BK",48.5254,"63.99","79.99"
"BLK15M211BK",48.5254,"63.99","79.99"
"BLK15M301BK",151.6420,"199.99","249.99"
"BLK15M311BK",151.6420,"199.99","249.99"
"BLK15M401BK",121.3136,"159.99","199.99"
"BLK15M411BK",121.3136,"159.99","199.99"
"BLK15NE10BK",90.9852,"119.99","149.99"
"BLK15PD00BK",18.1970,"23.99","29.99"
"BLK15PM01BK",60.6568,"79.99","99.99"
